11个城市,北京,天津,成都,西安,淄博,长沙,唐山,济南,保定,贵阳,合肥,长春,石家庄,苏州,郑州,茂名,扬州,莆田,绍兴,阜阳,上海,广州,南京,汕头,杭州,武汉,深圳,佛山,南昌,太原,厦门,盐城,襄阳,重庆,沈阳,大连,昆明,南宁,无锡,枣庄,宁波,南通,哈尔滨,青岛,连云港,淮安,常州,临沂,乌鲁木齐,徐州
15,263.9,242.7,152.3,89.4,89.7,300,115.7,184.7,180,257.7,127.9,47.4,89.9,43.6,77.3,158.9,120,81,49.8,186.3,29.1,97.7,58.4,56.1,36.7,108.3,69.1,145.5,108,72,127.5,66.7,120.9,156.9,70.5,244.6,44.2,301.2,151.6,191.7,100.4,250,74.2,85.5,47.4,90.4,63.5,76.4,119.8,76.7
14,280.9,255.5,148.7,82.5,69.6,247.8,188,149.7,205.7,105.9,71.4,45.9,116.9,44.4,76.4,85.4,115.2,91.3,54.6,178.6,26.4,73.9,61.3,50.2,41.5,107.2,67.4,90.6,104.2,77.7,97.5,102,118.6,112.2,127.7,397.4,83.2,268.8,99,190.4,90.6,301.5,101.3,192.7,59.5,107.7,63.6,90,87,105
13,191.7,138.6,141.6,72.1,73.8,150.4,75.5,135.5,166.5,96.7,79.7,45.1,123.5,49.2,72,90.3,70.4,58.7,46.5,222.2,25,56.9,39.1,44.3,30.3,117.3,55.7,75.2,98.5,60.3,112.5,117.9,116.8,113.4,96.8,259.2,52.5,112.1,82,137.5,60.4,220.6,105.5,119.4,45,78.6,40,73,76.1,120
12,200.7,108.5,128.6,68.2,95.6,141.6,74,169.5,163.8,93.6,116.9,42.2,127.9,50,68.8,127.6,53.3,61.5,46.5,253.3,28.8,55.8,37.2,47,38.6,112.5,55,80,91.2,58.2,106.7,122.4,115.9,122.5,58.8,83.9,55.3,112.7,103.3,151.3,51.4,228.8,66.3,102.8,40,75,44.1,69.6,80.9,115
11,174.5,83,112.7,65,90.8,141.3,82.3,141.2,223.1,111.6,168.4,36.2,133.8,50.9,67,154.9,55.7,68,51.4,242.1,30.2,57.6,37.2,44.2,56.3,102.9,56.9,81.1,76.7,60.4,93.3,103.2,114.5,118.8,49.9,43.3,49,108.5,167.6,138.2,53.3,231.8,43.9,110.9,40,75,45.8,60.7,84.6,108.4
10,146.7,98.3,110.8,53.2,99.6,136.8,97.4,121.1,264.9,102.8,243.5,32.4,123.9,47,62.5,80,60.8,66.7,66.4,225.3,32.7,59.5,42.3,48,62.5,92.7,53,69.4,61,57.6,70.6,79.3,111.8,111.3,52.9,49.2,37.8,86.5,138.2,107.9,51.4,175,35.7,99.3,34.8,70,58.9,64,89.6,100.9
9,118.2,76.9,112,50.5,63.4,133,120,110.3,232.7,96.6,214.7,32.7,117.7,47.6,60.5,70.5,51.7,64,83.7,140.4,36.5,55,44.3,54.4,73.3,86,49.2,64.7,46.2,55.3,51.8,48.3,113,105.9,57.7,41.4,28.8,65,83.5,94.6,52.7,98.5,31.4,97.2,41.3,69.7,52.2,65,86.3,88.2
8,95,48.1,113,48.5,49.7,125.7,60,63,214.5,74.4,146.6,33,84.3,43.1,60.7,66.7,46.2,60.4,93,99.4,37.7,47.7,38.2,54.5,88.2,87.7,46.8,66.7,41.7,50.5,51.8,38.5,107,95.6,50.6,32.2,23.8,57.4,50.9,78.8,54.5,43.5,27.5,75.8,36,70,37.2,60.4,85.1,77.7
7,85.6,44.4,106.7,48.6,34.9,120.2,37.6,51.5,106.7,60,112.1,31.1,53,37.9,62.9,65.1,36.7,50,106.2,88.6,32.7,46,29.6,51.9,106.3,82.6,42.9,74.3,46.9,49.7,55,37,97,86.1,41.4,21.4,19,48.8,37.5,72,60,25.9,23.4,26.8,27.1,57.6,30,51.1,106.3,69.3
6,85.1,54.3,111.3,50.6,29.6,122.5,32.5,44.9,56,48,104.5,25.3,54.2,34.6,66.3,57.5,33.3,50,110.3,70.2,33.9,47.1,28.2,51.5,121.1,87.4,43.4,74.1,47,44.8,49.4,32.6,93.3,79.2,37.6,13.5,18.3,48.2,39,76.7,86.5,21.4,19.1,23.8,26,50,26.7,43.9,95.9,65.5
5,82.7,56,111,54,26.2,124.5,51.4,41.5,50,43.5,109.3,23.1,58.6,36.5,70.3,58.1,35,52,110.6,80.6,35.1,47.9,23.9,56.1,128.3,92.3,41.9,81.9,47.5,40.4,55,32.6,94.1,82.8,50.4,13.5,20.4,52.5,40,69,125.6,22.4,15.4,25,28.8,44.6,27.4,48.5,75.9,65.9
4,77.6,64.4,116,53.1,21,121.5,61.7,41.6,60,36.1,108.6,23.9,49.7,41.1,72.4,59.3,35.2,50,107.8,71.2,37.5,48.1,23.2,58,132,99.4,39.2,81.9,49,37.5,51.8,37,94.8,82.4,58.8,13.5,22.9,51.4,37.2,63.1,132.6,27.6,15.6,19,34.6,40,26.7,46.9,73.1,58.3
3,67,69.2,114.6,45.3,23.8,104.8,58.3,36.9,52.7,34.2,111.5,27.7,46.7,42.2,74.4,62.1,35.2,56.8,111.3,79.7,53.4,46.9,40.5,56.4,129.2,101.2,40.9,79.9,50.9,28.9,56.5,41.3,96.7,85.9,52.1,11.8,26.2,51.4,40.9,61.6,121.6,25.9,15.2,19.5,39.4,37.5,25.1,45.6,64.9,54.8
2,62.4,67,112.8,40.3,23.8,98.8,48,31.1,60,33.9,110.7,25,40,44.8,76.2,61.3,38.4,50,108.9,90,84.1,43.7,51.1,53,113.8,104,37.6,81.7,51.4,24.7,54.1,39.6,97.4,85,52.2,14,30.4,53.8,44.1,65.5,107.5,24.1,16.7,25.7,43.2,39.4,24.2,49.1,62.2,51
1,52,49.6,108.6,35.7,24.5,94.1,27.6,26.2,63,31.1,91.2,24.7,58.2,63.7,77.9,64.5,35.2,45.8,92,87,103.2,45.4,72,48.8,94.6,102.9,38.9,79.9,55,26,54.7,41.7,96.6,93,58.2,15.1,35,54.1,70.6,64.3,111,29,17.2,22.5,46.7,47.7,25.5,49.1,52.9,52
